state,beds,beds_covid,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid,Cluster
2,2939,332,2781,3,4,7,4,5,9,18,3,1756,1
3,1315,262,1233,4,7,11,3,5,8,30,4,1011,1
13,3907,157,3809,4,31,35,8,26,34,110,4,1019,1
14,609,83,585,8,1,9,9,2,11,12,9,348,1
1,2755,360,2682,17,8,25,19,9,28,40,25,1955,1
3,1315,262,1233,3,8,11,1,7,8,30,4,964,1
10,3909,800,3756,19,5,24,15,9,24,34,14,2466,2
13,3907,157,3809,6,18,24,8,22,30,103,6,890,1
1,2755,360,2682,27,3,30,13,7,20,33,32,1328,1
2,2939,332,2781,3,4,7,4,5,9,17,6,1616,1
10,3909,800,3756,12,8,20,10,8,18,33,14,2395,2
13,3907,157,3809,7,15,22,9,18,27,100,6,801,1
1,2755,360,2682,14,11,25,15,3,18,41,28,1354,1
10,3909,800,3756,12,8,20,9,3,12,37,16,2384,2
13,3907,157,3809,6,19,25,6,18,24,99,6,846,1
1,2755,360,2682,19,15,34,15,4,19,49,25,2024,1
10,3909,800,3756,10,3,13,9,5,14,39,16,2468,2
13,3907,157,3809,8,23,31,6,12,18,118,8,933,1
14,609,83,585,8,7,15,4,5,9,13,12,263,1
1,2755,360,2676,23,12,35,20,7,27,47,28,1995,1
10,3909,800,3756,20,6,26,21,12,33,31,11,2596,2
13,3907,157,3809,15,26,41,6,21,27,120,10,978,1
14,609,83,585,15,10,25,13,5,18,15,9,284,1
1,2755,360,2676,21,18,39,15,10,25,49,20,2175,1
2,2939,332,2781,2,11,13,3,8,11,20,5,2045,1
10,3909,800,3756,14,4,18,12,7,19,29,8,2655,2
13,3907,175,3809,16,30,46,13,17,30,128,9,1005,1
0,4055,825,3939,48,33,81,20,16,36,126,46,3128,2
1,2755,360,2676,23,20,43,17,11,28,57,31,2120,1
2,2939,332,2781,4,7,11,4,6,10,21,4,2013,1
3,1315,262,1233,3,11,14,3,10,13,41,7,1065,1
10,3909,800,3756,15,5,20,5,6,11,28,15,2626,2
13,3907,175,3809,10,27,37,9,22,31,123,7,1057,1
14,609,83,585,14,20,34,6,5,11,24,11,316,1
1,2755,360,2676,14,18,32,26,6,32,63,17,2127,1
2,2939,332,2781,4,14,18,3,4,7,32,6,2011,1
3,1315,262,1233,3,8,11,3,12,15,36,6,999,1
7,504,52,485,4,3,7,4,4,8,13,4,342,1
8,1297,177,1231,5,25,30,1,15,16,74,4,610,1
10,3909,800,3756,23,9,32,14,2,16,39,45,2589,2
13,3907,175,3809,6,33,39,5,22,27,132,7,968,1
14,609,83,585,10,5,15,11,7,18,19,9,328,1
1,2755,360,2676,19,19,38,18,7,25,69,20,2266,1
2,2939,332,2781,2,9,11,2,11,13,30,6,2106,1
3,1315,262,1233,1,11,12,3,11,14,36,4,990,1
10,3841,780,3688,9,3,12,8,4,12,34,41,2517,2
13,3907,175,3809,5,29,34,5,20,25,134,6,959,1
14,609,83,585,9,8,17,5,6,11,19,12,326,1
1,2755,360,2676,19,28,47,18,12,30,77,14,2175,1
2,2939,332,2781,5,18,23,5,15,20,34,6,2211,1
3,1315,262,1233,5,7,12,5,8,13,31,5,1042,1
7,504,52,485,3,3,6,4,3,7,17,6,352,1
10,3841,780,3688,7,5,12,21,7,28,23,29,2560,2
13,3907,175,3809,5,27,32,6,22,28,135,5,972,1
14,609,83,585,10,11,21,11,7,18,21,10,330,1
1,2755,360,2676,19,18,37,17,16,33,70,17,2245,1
2,2939,332,2781,9,16,25,2,13,15,36,13,2228,1
3,1315,262,1233,3,13,16,2,8,10,35,8,1045,1
4,1587,92,1507,3,20,23,2,9,11,64,3,1078,1
13,3907,210,3809,11,25,36,3,26,29,141,13,1057,1
14,609,83,585,8,10,18,8,9,17,19,10,331,1
1,2755,360,2676,17,16,33,16,23,39,58,16,2277,1
2,2939,332,2781,1,11,12,5,10,15,36,9,2249,1
3,1315,262,1233,3,8,11,5,6,11,38,4,1084,1
8,1297,177,1231,3,21,24,2,18,20,77,3,623,1
14,609,83,585,10,5,15,5,4,9,16,10,348,1
1,2755,360,2676,20,18,38,7,15,22,53,16,2243,1
2,2939,332,2781,5,13,18,8,15,23,35,6,2216,1
3,1315,262,1233,2,10,12,1,6,7,38,5,1069,1
8,1297,177,1231,1,21,22,1,18,19,72,3,602,1
10,3841,780,3688,16,1,17,10,9,19,27,59,2597,2
13,3907,210,3809,7,29,36,2,30,32,146,7,1094,1
14,609,83,585,8,7,15,8,3,11,16,7,349,1
1,2755,360,2676,8,41,49,12,6,18,54,10,2109,1
2,2939,332,2781,6,14,20,2,12,14,35,10,2090,1
8,1297,177,1231,2,23,25,2,7,9,74,3,599,1
10,3841,780,3688,18,8,26,19,6,25,28,53,2527,2
13,3907,210,3809,8,24,32,4,28,32,140,10,1075,1
0,4055,825,3944,31,31,62,20,15,35,124,11,2785,2
1,2755,360,2676,17,16,33,8,8,16,55,17,2080,1
2,2939,332,2781,4,12,16,7,12,19,37,6,2059,1
3,1315,262,1233,3,12,15,4,11,15,39,3,993,1
7,504,52,485,3,3,6,3,4,7,15,3,332,1
10,3841,780,3688,11,2,13,9,5,14,27,53,2485,2
13,3907,210,3809,2,25,27,2,23,25,132,6,975,1
14,609,83,585,13,16,29,7,3,10,19,10,358,1
1,2755,360,2676,14,20,34,14,8,22,63,12,2107,1
2,2939,332,2781,5,7,12,1,8,9,36,10,2107,1
3,1315,262,1233,3,12,15,2,13,15,36,3,1008,1
10,3841,780,3688,10,5,15,8,3,11,28,54,2440,2
13,3907,210,3809,3,27,30,5,15,20,138,4,934,1
14,609,83,585,7,10,17,6,7,13,17,8,319,1
1,2755,250,2679,5,21,26,12,17,29,63,5,2123,1
2,2939,332,2781,6,13,19,5,5,10,40,11,2200,1
10,3841,780,3688,9,4,13,10,5,15,24,13,2446,2
13,3911,202,3813,4,20,24,4,14,18,135,8,982,1
14,609,83,585,2,7,9,3,6,9,14,6,329,1
1,2755,250,2679,17,27,44,10,11,21,69,12,2200,1
2,2939,332,2781,2,15,17,6,14,20,40,7,2237,1
10,3841,780,3688,18,13,31,12,5,17,33,13,2516,2
13,3911,188,3813,4,23,27,5,17,22,131,7,2152,1
14,609,83,585,7,7,14,6,4,10,17,6,333,1
1,2755,249,2679,10,18,28,9,11,20,69,8,2204,1
2,2939,332,2781,2,11,13,4,14,18,38,5,2175,1
10,3841,780,3688,14,17,31,15,8,23,42,14,2640,2
13,3911,198,3813,6,31,37,4,26,30,128,9,1067,1
1,2755,249,2679,19,30,49,8,14,22,75,16,2181,1
2,2939,332,2781,1,13,14,2,12,14,39,4,2186,1
10,3841,780,3688,12,8,20,16,9,25,41,10,2653,2
13,3911,225,3813,7,28,35,6,18,24,141,10,1103,1
1,2755,249,2679,15,21,36,16,13,29,75,16,2106,1
2,2939,332,2781,3,50,53,3,17,20,34,4,1966,1
10,3841,780,3688,21,12,33,10,12,22,44,12,2533,2
13,3911,225,3813,8,29,37,8,19,27,146,11,1069,1
1,2755,249,2679,7,15,22,9,14,23,72,11,2028,1
2,2939,332,2781,1,14,15,1,9,10,39,4,1901,1
10,3841,780,3688,11,7,18,17,5,22,47,8,2469,2
13,3911,225,3813,5,28,33,6,18,24,150,6,1981,1
0,4175,576,4063,41,28,69,32,11,43,155,40,3122,2
1,2755,249,2679,7,19,26,11,12,23,76,4,2107,1
2,2939,332,2781,5,13,18,1,16,17,36,8,1892,1
10,3841,780,3688,12,7,19,5,9,14,43,11,2451,2
13,3911,225,3813,10,27,37,6,29,35,142,8,1928,1
14,609,83,585,9,9,18,12,3,15,17,4,318,1
1,2755,249,2677,11,26,37,10,19,29,69,9,2133,1
2,2939,332,2781,6,6,12,5,7,12,34,9,2016,1
3,1315,262,1233,4,14,18,3,7,10,40,3,1021,1
6,5184,462,5083,2,45,47,1,13,14,142,5,3178,2
10,3841,780,3688,14,20,34,12,7,19,71,39,2457,2
14,609,83,585,11,7,18,6,9,15,15,7,330,1
1,2755,249,2677,15,35,50,13,20,33,83,11,2196,1
2,2939,332,2781,3,12,15,7,14,21,32,5,2100,1
3,1315,262,1233,3,10,13,2,5,7,43,4,1007,1
10,3841,780,3688,17,13,30,15,17,32,58,39,2579,2
1,2755,249,2677,10,39,49,9,14,23,99,12,2155,1
2,2939,332,2781,5,9,14,3,10,13,31,7,2125,1
3,1315,262,1233,5,12,17,3,13,16,40,5,1021,1
10,3841,780,3688,21,10,31,3,12,15,57,55,2638,2
13,3911,225,3813,3,27,30,6,25,31,142,12,2097,1
14,609,83,585,4,9,13,6,6,12,17,6,338,1
1,2755,249,2677,7,28,35,5,24,29,91,12,2131,1
2,2939,332,2781,1,13,14,5,9,14,35,3,2077,1
3,1315,262,1233,2,12,14,4,10,14,42,3,1045,1
10,3841,780,3688,11,15,26,23,16,39,54,42,2676,2
13,3911,225,3813,3,14,17,5,24,29,126,4,2123,1
1,2755,249,2677,11,23,34,7,15,22,95,15,2074,1
2,2939,332,2781,6,7,13,3,8,11,34,6,1900,1
3,1315,262,1233,4,13,17,3,14,17,39,4,1023,1
7,504,52,485,2,5,7,1,6,7,23,3,360,1
10,3841,780,3688,17,12,29,18,9,27,53,40,2601,2
13,3911,225,3813,3,29,32,7,21,28,130,3,2080,1
14,609,83,585,5,10,15,3,6,9,18,4,346,1
1,2755,249,2677,6,17,23,10,17,27,86,5,2098,1
2,2939,332,2781,4,10,14,1,8,9,36,10,1886,1
3,1315,262,1233,3,17,20,3,10,13,46,4,996,1
10,3841,780,3688,11,8,19,12,12,24,51,40,2509,2
13,3911,225,3813,5,27,32,4,20,24,133,4,1904,1
14,609,83,585,10,9,19,4,7,11,18,10,305,1
1,2755,255,2677,4,34,38,10,8,18,104,5,2155,1
2,2939,332,2781,2,10,12,5,11,16,34,5,2018,1
10,3841,780,3688,11,11,22,9,7,16,56,45,2393,2
1,2755,255,2677,17,33,50,8,24,32,105,14,2200,1
2,2939,332,2781,1,16,17,3,14,17,37,3,2051,1
6,5184,462,5091,3,25,28,1,20,21,143,13,3133,2
10,3841,780,3688,8,17,25,10,16,26,243,39,2429,2
14,609,83,585,5,6,11,8,3,11,12,6,337,1
1,2755,255,2677,16,18,34,13,20,33,93,13,2204,1
10,3841,780,3688,12,14,26,7,14,21,60,47,2564,2
13,3911,225,3813,11,41,52,3,27,30,137,13,2094,1
14,609,83,585,6,8,14,4,4,8,15,7,317,1
1,2755,255,2677,6,29,35,9,23,32,90,3,2162,1
5,2108,155,2025,1,22,23,1,10,11,47,3,1413,1
10,3841,780,3688,15,13,28,12,12,24,63,49,2628,2
13,3911,225,3813,5,29,34,9,27,36,134,8,2165,1
1,2755,255,2677,16,30,46,9,23,32,89,10,2088,1
2,2939,332,2781,2,13,15,1,12,13,35,6,2106,1
10,3841,780,3688,11,14,25,16,14,30,65,43,2672,2
13,3911,225,3813,5,24,29,5,24,29,143,11,2158,1
0,4175,541,4063,28,48,76,18,34,52,181,26,3176,2
1,2755,255,2677,6,23,29,10,26,36,85,5,2061,1
2,2939,332,2781,4,15,19,4,14,18,35,6,2029,1
10,3841,780,3688,11,23,34,13,9,22,78,40,2638,2
13,3911,225,3813,5,32,37,8,26,34,149,7,2141,1
14,609,83,585,4,5,9,2,5,7,15,4,337,1
0,4175,541,4063,22,51,73,19,29,48,197,31,3003,2
1,2755,255,2677,12,15,27,2,20,22,74,11,2068,1
2,2939,332,2781,1,15,16,3,9,12,41,4,1996,1
4,1542,124,1467,3,14,17,1,8,9,66,3,812,1
6,5184,462,5091,2,48,50,2,27,29,152,9,3204,2
10,3841,780,3688,11,14,25,2,22,24,68,44,2516,2
13,3911,225,3813,7,30,37,4,23,27,146,9,2000,1
1,2755,255,2677,13,20,33,3,14,17,76,12,2132,1
2,2939,332,2781,6,13,19,3,10,13,44,7,2039,1
10,3841,780,3688,3,9,12,8,15,23,67,43,2438,2
1,2755,255,2677,18,18,36,11,19,30,73,12,2112,1
2,2939,332,2781,6,16,22,1,19,20,40,12,2121,1
10,3841,780,3688,11,13,24,14,14,28,69,38,2490,2
13,3911,260,3813,4,12,16,3,21,24,127,5,2078,1
2,2939,332,2781,4,19,23,12,8,20,50,4,2160,1
4,1542,124,1467,3,14,17,2,17,19,67,4,830,1
10,3841,786,3688,17,16,33,4,14,18,72,52,2569,2
13,3873,260,3775,6,20,26,2,26,28,119,9,2106,1
14,609,83,585,9,11,20,6,10,16,15,6,357,1
1,2755,255,2677,6,18,24,1,26,27,70,6,2193,1
2,2939,332,2781,2,17,19,3,16,19,48,3,2195,1
10,3841,786,3688,17,18,35,13,14,27,77,37,2579,2
13,3873,260,3775,6,29,35,5,24,29,118,10,966,1
14,609,83,585,6,10,16,5,8,13,15,4,350,1
3,1315,262,1233,4,11,15,3,12,15,55,6,1038,1
4,1542,124,1467,1,11,12,1,23,24,43,3,873,1
10,3841,786,3688,9,15,24,23,16,39,76,38,2625,2
13,3873,260,3775,5,26,31,6,17,23,120,10,983,1
14,609,83,585,6,11,17,3,6,9,17,6,332,1
0,4175,541,4063,20,41,61,19,33,52,174,16,3018,2
